IdDosis;Farmaco;Coste Farmaco
1;NPK 1;12
1;NPK 1;30
1;NPK 1;40
2;NPK 1;12
2;NPK 1;30
2;NPK 1;40
3;NPK 1;12
3;NPK 1;30
3;NPK 1;40
4;NPK 1;12
4;NPK 1;30
4;NPK 1;40
5;NPK 1;12
5;NPK 1;30
5;NPK 1;40
1;NPK 2;12
1;NPK 2;30
1;NPK 2;40
2;NPK 2;12
2;NPK 2;30
2;NPK 2;40
3;NPK 2;12
3;NPK 2;30
3;NPK 2;40
4;NPK 2;12
4;NPK 2;30
4;NPK 2;40
5;NPK 2;12
5;NPK 2;30
5;NPK 2;40
1;NPK 3;12
1;NPK 3;30
1;NPK 3;40
2;NPK 3;12
2;NPK 3;30
2;NPK 3;40
3;NPK 3;12
3;NPK 3;30
3;NPK 3;40
4;NPK 3;12
4;NPK 3;30
4;NPK 3;40
5;NPK 3;12
5;NPK 3;30
5;NPK 3;40
1;NPK 4;12
1;NPK 4;30
1;NPK 4;40
2;NPK 4;12
2;NPK 4;30
2;NPK 4;40
3;NPK 4;12
3;NPK 4;30
3;NPK 4;40
4;NPK 4;12
4;NPK 4;30
4;NPK 4;40
5;NPK 4;12
5;NPK 4;30
5;NPK 4;40
1;NPK 5;12
1;NPK 5;30
1;NPK 5;40
2;NPK 5;12
2;NPK 5;30
2;NPK 5;40
3;NPK 5;12
3;NPK 5;30
3;NPK 5;40
4;NPK 5;12
4;NPK 5;30
4;NPK 5;40
5;NPK 5;12
5;NPK 5;30
5;NPK 5;40
1;NPK 6;12
1;NPK 6;30
1;NPK 6;40
2;NPK 6;12
2;NPK 6;30
2;NPK 6;40
3;NPK 6;12
3;NPK 6;30
3;NPK 6;40
4;NPK 6;12
4;NPK 6;30
4;NPK 6;40
5;NPK 6;12
5;NPK 6;30
5;NPK 6;40
1;HKR 1;12
1;HKR 1;30
1;HKR 1;40
2;HKR 1;12
2;HKR 1;30
2;HKR 1;40
3;HKR 1;12
3;HKR 1;30
3;HKR 1;40
4;HKR 1;12
4;HKR 1;30
4;HKR 1;40
5;HKR 1;12
5;HKR 1;30
5;HKR 1;40
1;HKR 2;12
1;HKR 2;30
1;HKR 2;40
2;HKR 2;12
2;HKR 2;30
2;HKR 2;40
3;HKR 2;12
3;HKR 2;30
3;HKR 2;40
4;HKR 2;12
4;HKR 2;30
4;HKR 2;40
5;HKR 2;12
5;HKR 2;30
5;HKR 2;40
1;HKR 3;12
1;HKR 3;30
1;HKR 3;40
2;HKR 3;12
2;HKR 3;30
2;HKR 3;40
3;HKR 3;12
3;HKR 3;30
3;HKR 3;40
4;HKR 3;12
4;HKR 3;30
4;HKR 3;40
5;HKR 3;12
5;HKR 3;30
5;HKR 3;40
1;JKP 1;12
1;JKP 1;30
1;JKP 1;40
2;JKP 1;12
2;JKP 1;30
2;JKP 1;40
3;JKP 1;12
3;JKP 1;30
3;JKP 1;40
4;JKP 1;12
4;JKP 1;30
4;JKP 1;40
5;JKP 1;12
5;JKP 1;30
5;JKP 1;40
1;JKP 2;12
1;JKP 2;30
1;JKP 2;40
2;JKP 2;12
2;JKP 2;30
2;JKP 2;40
3;JKP 2;12
3;JKP 2;30
3;JKP 2;40
4;JKP 2;12
4;JKP 2;30
4;JKP 2;40
5;JKP 2;12
5;JKP 2;30
5;JKP 2;40
1;JKP 3;12
1;JKP 3;30
1;JKP 3;40
2;JKP 3;12
2;JKP 3;30
2;JKP 3;40
3;JKP 3;12
3;JKP 3;30
3;JKP 3;40
4;JKP 3;12
4;JKP 3;30
4;JKP 3;40
5;JKP 3;12
5;JKP 3;30
5;JKP 3;40
1;OIU 1;12
1;OIU 1;30
1;OIU 1;40
2;OIU 1;12
2;OIU 1;30
2;OIU 1;40
3;OIU 1;12
3;OIU 1;30
3;OIU 1;40
4;OIU 1;12
4;OIU 1;30
4;OIU 1;40
5;OIU 1;12
5;OIU 1;30
5;OIU 1;40
1;OIU 2;12
1;OIU 2;30
1;OIU 2;40
2;OIU 2;12
2;OIU 2;30
2;OIU 2;40
3;OIU 2;12
3;OIU 2;30
3;OIU 2;40
4;OIU 2;12
4;OIU 2;30
4;OIU 2;40
5;OIU 2;12
5;OIU 2;30
5;OIU 2;40
1;OIU 3;12
1;OIU 3;30
1;OIU 3;40
2;OIU 3;12
2;OIU 3;30
2;OIU 3;40
3;OIU 3;12
3;OIU 3;30
3;OIU 3;40
4;OIU 3;12
4;OIU 3;30
4;OIU 3;40
5;OIU 3;12
5;OIU 3;30
5;OIU 3;40
1;QRE 1;12
1;QRE 1;30
1;QRE 1;40
2;QRE 1;12
2;QRE 1;30
2;QRE 1;40
3;QRE 1;12
3;QRE 1;30
3;QRE 1;40
4;QRE 1;12
4;QRE 1;30
4;QRE 1;40
5;QRE 1;12
5;QRE 1;30
5;QRE 1;40
1;QRE 2;12
1;QRE 2;30
1;QRE 2;40
2;QRE 2;12
2;QRE 2;30
2;QRE 2;40
3;QRE 2;12
3;QRE 2;30
3;QRE 2;40
4;QRE 2;12
4;QRE 2;30
4;QRE 2;40
5;QRE 2;12
5;QRE 2;30
5;QRE 2;40
1;QRE 3;12
1;QRE 3;30
1;QRE 3;40
2;QRE 3;12
2;QRE 3;30
2;QRE 3;40
3;QRE 3;12
3;QRE 3;30
