Id;Provincia;IdCCAA
4;Almeria;1
11;Cadiz;1
14;Córdoba;1
18;Granada;1
21;Huelva;1
23;Jaen;1
29;Malaga;1
41;Sevilla;1
22;Huesca;2
44;Teruel;2
50;Zaragoza;2
33;Asturias;3
7;Balears, Illes;4
35;Palmas, Las;5
38;Santa Cruz de Tenerife;5
39;Cantabria;6
5;Avila;7
9;Burgos;7
24;León;7
34;Palencia;7
37;Salamanca;7
40;Segovia;7
42;Soria;7
47;Valladolid;7
49;Zamora;7
2;Albacete;8
13;Ciudad Real;8
16;Cuenca;8
19;Guadalajara;8
45;Toledo;8
8;Barcelona;9
17;Girona;9
25;Lleida;9
43;Tarragona;9
3;Alicante/Alacant;10
12;Castellón/Castello;10
46;Valencia;10
6;Badajoz;11
10;Caceres;11
15;Coruña, A;12
27;Lugo;12
32;Ourense;12
36;Pontevedra;12
28;Madrid;13
30;Murcia;14
31;Navarra;15
1;Araba/Alava;16
48;Bizkaia;16
20;Gipuzkoa;16
26;Rioja, La;17
51;Ceuta;18
52;Melilla;19
